id;zak;seminar;ro;date
1920; 241;29; 0; '2023-02-13 20:00:43'
1921; 241;30; 0; '2023-02-13 20:00:43'
1922; 241;28; 0; '2023-02-13 20:00:43'
1930; 224;23; 0; '2023-02-13 20:00:45'
1931; 224;18; 0; '2023-02-13 20:00:45'
1932; 224;14; 0; '2023-02-13 20:00:45'
1933; 224;2; 0; '2023-02-13 20:00:45'
1946; 199;23; 0; '2023-02-13 20:00:49'
1947; 199;2; 0; '2023-02-13 20:00:49'
1951; 204;29; 0; '2023-02-13 20:00:53'
1952; 204;13; 0; '2023-02-13 20:00:53'
1956; 187;23; 0; '2023-02-13 20:00:54'
1957; 187;6; 0; '2023-02-13 20:00:54'
1958; 187;18; 0; '2023-02-13 20:00:54'
1959; 187;24; 0; '2023-02-13 20:00:54'
1979; 236;29; 0; '2023-02-13 20:01:01'
1980; 236;13; 0; '2023-02-13 20:01:01'
1981; 236;9; 0; '2023-02-13 20:01:01'
1984; 203;15; 0; '2023-02-13 20:01:02'
1985; 203;13; 0; '2023-02-13 20:01:02'
1986; 203;28; 0; '2023-02-13 20:01:02'
2009; 205;29; 0; '2023-02-13 20:01:05'
2010; 205;28; 0; '2023-02-13 20:01:05'
2014; 228;29; 0; '2023-02-13 20:01:06'
2015; 228;30; 0; '2023-02-13 20:01:06'
2016; 228;28; 0; '2023-02-13 20:01:06'
2029; 229;23; 0; '2023-02-13 20:01:08'
2030; 229;31; 0; '2023-02-13 20:01:08'
2031; 229;18; 0; '2023-02-13 20:01:08'
2039; 222;23; 0; '2023-02-13 20:01:10'
2040; 222;25; 0; '2023-02-13 20:01:10'
2041; 222;18; 0; '2023-02-13 20:01:10'
2044; 212;29; 0; '2023-02-13 20:01:12'
2045; 212;6; 0; '2023-02-13 20:01:12'
2049; 218;23; 0; '2023-02-13 20:01:13'
2050; 218;13; 0; '2023-02-13 20:01:13'
2051; 218;7; 0; '2023-02-13 20:01:13'
2052; 218;18; 0; '2023-02-13 20:01:13'
2053; 218;24; 0; '2023-02-13 20:01:13'
2064; 231;23; 0; '2023-02-13 20:01:19'
2065; 231;25; 0; '2023-02-13 20:01:19'
2066; 231;18; 0; '2023-02-13 20:01:19'
2067; 231;19; 0; '2023-02-13 20:01:19'
2089; 215;29; 0; '2023-02-13 20:01:26'
2090; 215;30; 0; '2023-02-13 20:01:26'
2091; 215;28; 0; '2023-02-13 20:01:26'
2094; 225;23; 0; '2023-02-13 20:01:26'
2095; 225;31; 0; '2023-02-13 20:01:26'
2096; 225;25; 0; '2023-02-13 20:01:26'
2097; 225;18; 0; '2023-02-13 20:01:26'
2098; 225;14; 0; '2023-02-13 20:01:26'
2099; 219;15; 0; '2023-02-13 20:01:26'
2100; 219;6; 0; '2023-02-13 20:01:26'
2114; 190;15; 0; '2023-02-13 20:01:29'
2115; 190;13; 0; '2023-02-13 20:01:29'
2116; 190;28; 0; '2023-02-13 20:01:29'
2117; 190;2; 0; '2023-02-13 20:01:29'
2119; 244;29; 0; '2023-02-13 20:01:29'
2120; 244;28; 0; '2023-02-13 20:01:29'
2129; 220;29; 0; '2023-02-13 20:01:34'
2130; 220;30; 0; '2023-02-13 20:01:34'
2131; 220;28; 0; '2023-02-13 20:01:34'
2164; 198;31; 0; '2023-02-13 20:01:35'
2165; 198;14; 0; '2023-02-13 20:01:35'
2174; 234;23; 0; '2023-02-13 20:01:35'
2175; 234;6; 0; '2023-02-13 20:01:35'
2176; 234;25; 0; '2023-02-13 20:01:35'
2199; 221;23; 0; '2023-02-13 20:01:41'
2200; 221;6; 0; '2023-02-13 20:01:41'
2204; 196;15; 0; '2023-02-13 20:01:41'
2205; 196;13; 0; '2023-02-13 20:01:41'
2206; 196;25; 0; '2023-02-13 20:01:41'
2228; 233;23; 0; '2023-02-13 20:01:58'
2229; 233;31; 0; '2023-02-13 20:01:58'
2230; 233;7; 0; '2023-02-13 20:01:58'
2231; 233;14; 0; '2023-02-13 20:01:58'
2243; 186;23; 0; '2023-02-13 20:02:16'
2244; 186;13; 0; '2023-02-13 20:02:16'
2245; 186;25; 0; '2023-02-13 20:02:16'
2246; 186;9; 0; '2023-02-13 20:02:16'
2257; 207;23; 0; '2023-02-13 20:02:47'
2258; 207;13; 0; '2023-02-13 20:02:47'
2259; 207;14; 0; '2023-02-13 20:02:47'
2262; 201;6; 0; '2023-02-13 20:02:49'
2263; 201;18; 0; '2023-02-13 20:02:49'
2264; 201;2; 0; '2023-02-13 20:02:49'
2267; 239;23; 0; '2023-02-13 20:02:50'
2268; 239;31; 0; '2023-02-13 20:02:50'
2269; 239;19; 0; '2023-02-13 20:02:50'
2270; 239;2; 0; '2023-02-13 20:02:50'
2281; 242;18; 0; '2023-02-13 20:03:19'
2282; 242;19; 0; '2023-02-13 20:03:19'
2283; 242;2; 0; '2023-02-13 20:03:19'
2286; 185;15; 0; '2023-02-13 20:03:22'
2287; 185;13; 0; '2023-02-13 20:03:22'
2288; 185;2; 0; '2023-02-13 20:03:22'
2295; 213;23; 0; '2023-02-13 20:03:34'
2296; 213;13; 0; '2023-02-13 20:03:34'
2297; 213;7; 0; '2023-02-13 20:03:34'
2298; 213;24; 0; '2023-02-13 20:03:34'
2304; 217;15; 0; '2023-02-13 20:03:41'
2305; 217;31; 0; '2023-02-13 20:03:41'
2306; 217;18; 0; '2023-02-13 20:03:41'
2307; 217;14; 0; '2023-02-13 20:03:41'
2309; 206;23; 0; '2023-02-13 20:03:45'
2310; 206;2; 0; '2023-02-13 20:03:45'
2324; 192;6; 0; '2023-02-13 20:04:08'
2325; 192;25; 0; '2023-02-13 20:04:08'
2326; 192;19; 0; '2023-02-13 20:04:08'
2327; 192;9; 0; '2023-02-13 20:04:08'
2338; 193;13; 0; '2023-02-13 20:04:59'
2339; 193;25; 0; '2023-02-13 20:04:59'
2340; 193;18; 0; '2023-02-13 20:04:59'
2343; 238;29; 0; '2023-02-13 20:05:42'
2344; 238;30; 0; '2023-02-13 20:05:42'
2345; 238;18; 0; '2023-02-13 20:05:42'
2360; 208;13; 0; '2023-02-13 20:11:02'
2361; 208;25; 0; '2023-02-13 20:11:02'
2362; 208;9; 0; '2023-02-13 20:11:02'
2379; 214;29; 0; '2023-02-13 20:34:00'
2380; 214;30; 0; '2023-02-13 20:34:00'
2381; 214;2; 0; '2023-02-13 20:34:00'
2393; 245;15; 0; '2023-02-13 20:53:02'
2394; 245;13; 0; '2023-02-13 20:53:02'
2395; 245;7; 0; '2023-02-13 20:53:02'
2396; 245;9; 0; '2023-02-13 20:53:02'
2403; 209;29; 0; '2023-02-13 21:13:58'
2404; 209;30; 0; '2023-02-13 21:13:58'
2405; 209;6; 0; '2023-02-13 21:13:58'
2406; 209;2; 0; '2023-02-13 21:13:58'
2421; 194;15; 0; '2023-02-15 08:59:44'
